Comments,Classes
Its strange how one family member attitude effects the whole family so stay happy for the sake of your loved ones even when you are not happy,NA
tum bohat acha kam karte ho,NA
bohat acha kam karte ho,NA
tum  acha kam karte ho,NA
tum bohat acha kam karte ho acha kaam kar rahy ,NA
tum bohat acha kam karte ho acha kaam kar rahy bhot hi ,NA
matlab kya hai,NA
matlab kya hai tumhara,NA
matlab kya hai na kar,NA
matlab kya hai shi baat hay bhot achy ho ,NA
What a khch drama nowadays hr hfta yeh he sochty hain k next episode mein behtar hoga hut phir se wo he bakwas or 2x k speed se dekhna,NA
Nisa is using Rashid Bhai and this is very bad he is very loyal and innocent he truly loved Nisa,NA
Biryani ab khichrri ban gya hai should change the name now,NA
Ye larki bara chalu nikli,NA
Is drama ko aur mehrha drama ko ab band kar dena chahiye,NA
Nisa ne toe aisa kuch nahi kaha Meeran se help me find the other side of the story kuch bhi,NA
Cricket ka kya add kar raha hai kya,NA
Maro dey deo koi number Maheeeeennnnnn da,NA
Bhool gaye beech mein kya karna tha is drama ka,NA
Kya paka rahe hai ye log kasam se ek manto dekh k gaaliyan nikli ab ye drama dekh k nikal rahi hai,NA
Pata ni kon log hain he jinko samajh nahi araha how helpless they both no one feel the pain bs romance chahiye sabko,NA
Gul mehr ki aankhon ka dard kis kis ne mehsoos kiya,NA
Subh subh dekhne walon ko mera salam,NA
Babar king k naam dramo mein bhi chal raha hai ab kaptana,NA
Itni pyari ammi ki itni koi beti Maheen,NA
Baloch to drammy mein bhi lapata hai,NA
15 episode ke baad mohabbat kara detein hai aur phir sare drama ki asi tesi hojati hai is ke alawa koi aur story nahi likh sakte,NA
Maheen is very sweet and humbel beautiful but Nisa is very toxic rude with everyone hate har,NA
Is chacha ko Mirzapur bhej do,NA
My brainroot is telling the plot twist would be Meeran kay abba say Maheen ki ammi nay shadi ki thi,NA
Are ye lab hua pehle hi boom phor diya,NA
Biryani se haleem ban gya hai,NA
Aisa laga aunty Titanic ki story suna rahi hai,NA
Kon hi jo match commentary me zyada interested tha then Gul ki bato me,NA
Drama extend karna hy to at least koi practical reason hi dhond letay 2 weeks se project ke peeche sare characters lagay huay,NA
Heart touching acting by Meeran,NA
Shukr ye episode boring nahi hai,NA
Aaj ka episode emotional tha Nisa - Meeran ka rona nahi dekh pa rahi hun,NA
Mujhy ab tak is baat ki samajh nahi ai k is drama ka naam Biryani kyu rkha hai,NA
Kitni boring qist thi bas drama ko lamba khinchne ke liye fazool scene,NA
Can't believe it's so much watching 2 feel like skipping the episode I used to enjoy the show now it seems like punishment who cares about Mrs Yusuf,NA
Bs koi itna guide kar de k agay drama dekhon ya chor don,NA
Boht he extra time tha mere pas soch khichrri drama dekh lu,NA
Boht he extra time tha mery pas soch khichrri drama dekh lu,NA
Ab to ye drama bor hota jata hai,NA
Nafrat ek aisa hathyar hai ke jab aap use istemal karte hain to sab se pehle apka nuksan kar dete hain,NA
Day by day getting bored,NA
Ab lambi kar rahy hain aadha drama to forward kar k dekhna start acha tha,NA
Susssssssst thakka huwa drama,NA
Mamoon and tanno are gems Mamoon probably is a theatre actor,NA
Kis kis ko lagta hai Qureshi ki shadi Gul Mehar se hogi,NA
Meer ki kamal adakari,NA
Bass yahan he khatam krdo is drama ko or nhi dekha jarha,NA
Meeran & Gul ki conversation was heartfelt,NA
Bas kardo plz khatam krdo boring ha boht drama karna bhi nh aata,NA
I am from Bangladesh,NA
Boht excitement main first episode se start kiya tha now I'm bore this drama,NA
Not everyone will understand the pure emotion of the scenes,NA
Fazul thareen drama plzz iska end krdo plzzzz,NA
Actually Biryani showing after 17th episode the picture of real life very good story think deeply,NA
Is Biryani ki kichdi q bana rahe ho yr har koi nahi samajta ac store booj ho rahe mujhe per,NA
I love Maheens character she gives so pure and cozy vibes i wish Maheen ki love story hoti jisp focus hota,NA
Halal relation hoty huy haram pa zor ha pathetic dramas these days,NA
2X speed waly hazri lou,NA
Lagta Maheen aur Meeran ki love story shuru ho gai hai,NA
Uff all characters are the best performance r superb story line is different and well knighted Ramsha Khushal Sarwat Mamoo Jan Rashid Tuno Maheen excellent job Laila Wasti,NA
Nisa ko kisi ki parwah nahi siwaye apni zaat k she was so rude with Maheen and didn't even think about her pain,A
Bichara Qureshi saab,NA
Samne wali Shabana to qatil aashiq nikli,NA
Biryani din ba din boring ho gaya h isey jaldi khatam ho jana chahiye,NA
Biryani ka raita phela diya hai writer ne its Zafar Meraj's second serial which disappointed me first one is Dil Wali Gali me,NA
Kidney touching story,NA
Nisa is very confusing character she is selfish she is emotional she is egoistic but she hates and loves at the same time,A
Maheen py bhi camera lagana tha as it was story of her family,NA
Biryani pe pura raita dal diya,NA
Biryani is getting bored day by day,NA
Maheen ka number dey do koi kherat me,NA
Nisa's friend is Meer's sister,NA
Yar kahan milty hy aiesy Meeran jaisy loug,NA
Uffh…how painfull it is seeing ur husband crying for any other woman,NA
"Why do I feel Maheen's mother was involved in Mir's father he told in previous episode about his ""ishq""",NA
Mamu jee ki acting bht zbrdast hai,NA
This drama has no story left just repeating same thing again and again,NA
I will see the whole drama with 2× speed,NA
Tanno's hair are much beautiful and heavier,NA
Strong portrayal of how you're not supposed to take anyone's trauma forgranted if they dont show doesn't mean it doesn't hurt,NA
Tannu is THE main super cute character of this drama and played very well,NA
Ho kia raha hai is dramey mein koi samjayie ga,NA
Can we have the last episode now,NA
Ye drama Khan sy Khan ja rha h koi smjh ni a rha,NA
Yeh story tw kisi aur taraf he nikl ghi,NA
"Oh my god I feel like Meeran's father is Yousaf Baloch, Mahin's father",NA
Ho kia raha hai aakhir is dramay mein bus chalay jaa raha hai,NA
He is crying a man is crying yarrrr,NA
At this point the teasers are more interesting to watch than actual episodes,NA
Mhuji aesa q lag raha us darme me sab Nisa or Meeran ko milane ke chakar me hai,NA
Ya drama kisi bakwas admi ne likha pta nai Maheen ke ami abu kha se agaye ab or koi topic ni mila tha,NA
Kash Gul Mehar khin chli jae is drama se wapis na ae,NA
Unnecessarily dragging the drama bhai khattam kroooo,NA
Maheen was so beautiful,NA
Bekaar and fazool drama jisme teacher couple bna rha hy,NA
Lagta he Gul Nihal k sath hogi end me aisa lagta he,NA
English ma bisti krwane ma to bisti be nahi lagti,NA
Kashmir banega Pakistan support from USA,NA
Maheennnnnnnnnnn,NA
Writer kia smjhana chaha rha hy human psychology? Yeh Gul Mehar or Meeran mn itni understanding dikhayi jarhi hy phr itna complex kiun horha hy Gul Mehar kbhi kbhi space creature lgti hy,NA
Where is cricket lover,NA
12-13 episodes ke drama ko kis tarha khaincha jata hai wo ye drama dekhay so boring and draged,NA
Maheeen ki mother is very very pretty,NA
Ap ne kia hai ISHQ? Tuje nzr hi nhi aa rha wo tmhri khushi k lye maar rhi hai khud ko,NA
Kabuli Pulao to bohot acha bun gaya tha magar Biryani nahi bun paee,NA
Maheen is a good product in this drama inko agy heroin lay v attractive good actress,NA
Match Pak vs Wi ka lga hy or commentary Pak vs Aus 2024 1st ODI ki hy,NA
Daram mein Kuch bhi nhi bor Daram ab hatan ho jana chahiye,NA
Why I wasted my 2 min,NA
She unintentionally gave them the answer to all their issues,NA
Kahin Maheen Meera Meeran ki step sis tw nhi,NA
Toxic hy to chal ray sae ho ga sb to drama khtm,NA
Meeran ek style shirt different colors may uniform ki tara pehan raha hay,NA
Why wasn't the episode translated into Arabic,NA
Zabardasti stretch kar rahe hain no content each episode looks forced story kahan hai,NA
Match Pak vs West Indies ka lga hua Or wicket Adam Zampa ny li Babar Azam ki,NA
27 vein tarmeem mein is drama ko khatam kiya jae awam ka mutalba,NA
I like Maheen she is so beautiful she looks like Parineeti Chopra,NA
20 episode kebad ye drama 100% Bakwaz hogya,NA
Maheen and her tumbler,NA
Why you are not using Mera yaar milady ost in the drama please use this it's beautiful,NA
Gul ko dekhte hi dimag kharab ho jata hai khoon bahane lagta hai sar se,A
Too much slow this drama I skipped 2 episode but not missed anything,NA
Meeran makes me emotional,NA
Ishq khuddar darakht? Ya khudroa darakht,NA
Muje lgta hy mje Maheen se mhbt hojae gee,NA
Kio ais drama ko khatm karwa da,NA
It's better to end now instead of stretching badly,NA
Nissa ki mother so good,NA
Beech me pta nai kia kia stories dal di hen,NA
Nisa is so khudgarz sirf apna sochti h wo usy baqi kisi ki feelings ka koi ehsaas nhn h bs usko apni cheezen nazer aati hain or agr cheezen uske mutabik na hon to wo rude hojati h,A
Aunty ne age ki story bata di,NA
Mein ny darama chor Nhi tha Dakhna likn Phir Socha k nisa ka kia bna hoo ha Phir aj daka,NA
"New characters new stories just dragging me ak episode miss ni krti thi even mints dekhti Rehti thi k khtm to ni hny Wala n now last 4 episode 2 ,2 din k bad Dekhi hn woh b agy agy kr k..q k koi aur option b nai tha itna boring ho rha h ye ab",NA
CBA ARMY here,NA
This drama is growing boeing day by day,NA
Mujhe pehle laga maheen and meraan step brother sister hoga baad mey jab meraan confirm mil gaya maheen ke papa toh sukar hey,NA
Maheen and mir meeran are siblings,NA
Ufffff ya ARY ny kasa drama bnya,NA
I only came here to listen the music of this drama Amazing,NA
Nisa is so damn khudgaraz... Kisi ki feelings ki koi parwa nahi hai,A
Mujhay Laga ye drama bhi duniyapur ki tarha hit Hoga lekin ye to story itni bor hai,NA
Mind-blowing acting by all the actors,NA
Boring hota jara he drama. Bht slow chal raha he,NA
Nisa ki maa ko chahiye k usy 2 chapairain lagaye taa k usy hosh aye,A
Zampa got Babar in first odi nd Pakistan won the series by 2-1,NA
Dustbin Ho Gaya Hai Drama End Karo Bacha Ab Kuch Bhi Naheen Hai Story Men Fazol Men Khenche Ja Rahy Ho,A
25:10 Paghal,NA
Bs end kr do drama koi story ni bchi hui bhaiii,NA
After enjoying 1st 5 episode..I stop watching this drama ...but I will watch it's last epi then will decide k watch all epi ya not,NA
Khatam karo ab ye jaldi se,NA
"Meeran & Nisa are totally into each other. Nisa can’t live without him , she feels helpless & cries. Aor Meeran tau krta hi hai piyar. Sari batain Gul Mehr sae share krta hai",NA
Latkaya ja ra ha dramay ko ab koi story inhy smj nai aa rae. Naye naye chracters dal ry hn ab maheen ki ama a gae jo pury dramay me nai dikhaye,NA
Nisa day 1 se hi esi battamiz h,A
ARY se request hai plss last episode jaldi dikha do,NA
Asa fazul drama kbi nhi dekha .. pta nhi bgher story k kis trah keench rhy itna Lmba,A
Vote for last episode,NA
26:30 Babar AZAM,NA
Yah Drama km Thesis project ki class ziada lg rhi hai,NA
"i seriously love this drama's authentic different story also meeran , nisa , gul meher mind blowing acting purely natural",NA
I think maheen and mother are in real relationship,NA
Meran is unaware about the inner feelings of mehr banu,NA
Ramshakhan,NA
I really wonder how everyone  biryani,NA
"Nisa ek self centerd,confused r rude larki ha",A
Qureshi sahb k mathe pr mehrab Mashallah,NA
Meeran ne keh kya dia is nissa ko jo is ko itna gussa aata ha us pe anytime mera dill kar ra ha ma 2 4 thappad maarun kasam se ise seedhi ho jaae gi phir ye,NA
"Drama buht bori g hota ja raha hai, fazool mn khench rahy hain",A
Nisa ki shadi Jldi sy Jldi Rashid k sth ho jaye,NA
"Shuru mai axha tha drama, par ab to bhttttt zaida boring ho gaia, esa lgta jesy koi indian drama dekh rhy, jis ki koi story ni",NA
"inthai koi ajeeb drama hai , pata nh kya dikhana chah rha hai writer ! upr se ye nisaa itni koi irritating hai",NA
The convo between maheen and Meeran was so awkward bro,NA
zampa ny babar azam ko out kr dya,NA
So yousaf sahb meeran k Abba niklny waly,NA
Khsuhal khan performed very well,NA
6:11 yarr maheen aur meer kai darmeaan khuch hian kiaa,NA
Starting episodes buhat achi thi Maza arha tha drama dikhny ma after nisa and meraan breakup ab aisy fazool bharha rhy darmy ko jise indian dramun ma hota ha khani ka koe sar pair nhi ha pata nhi kyun ab ye drama bilkul boring lag Raha ha,A
Floop tareen drama,NA
Yeh kya story hain,NA
"26.37 Ishaq khuddar darakht nahi khudrow darakhat hai. Big channels should have better direction please. Any why are the being SOOo ANGRAIZ? They come from a cultural background, the boy has never gone to school and the have so Angraiz expressions. Poor direction!",NA
Maheen bht cute ha,NA
Ye taveez k sath ya kaya pass pass kehl rahe hain kabhi koi pehn leta hai tu kabhi koi,NA
Boring dream ban gya ye ab,NA
Yallah itne bure out of the blue dialogues kabhi nehi suna,NA
I really like nisa's mother,NA
Drame dekhne ka ab Mann hi nh karta .. bhot boring story hogyai hai ab . Start me acha ab utna hi boring,A
Yar idr b Babar Azam out ho gya,NA
I like just mamo Jan and Nissa Ammi Jan,NA
"Pata Nahi comments mai half story dekne K bad loog analysis dena SHoro kardete hai ,yahe scenario practical life mai b hai ,bagher deke just sunne p pora image Bana Lete hai insan ka",NA
Actor kamal k hn is dramy mn likn drama story boht boring hy,NA
Nisa AKA Ramsha khan is toxic irl too,NA
Maheen is looking like parineeti chopra,NA
Yeah Rashid bhangi actor character ko nikalo,NA
32:55 shumaila se Shabana ban Gaye ,NA
Meeran acting ,NA
"Angraisi weak thee , na hee bola karain tou acha hai",NA
13:16 Mamu Jaan’s Reaction was,NA
Phly bht axag rha ta drma ab tu blkol bkwas hu gya,A
Mehran ko dikh apna AP yaad ata hai. Or phir AK cheez Dil ma ATI hai Koi itna acha kesy lag sakhta hai phir sary ka Sara kesy lag sakhta hai 29:00,NA
Maheen ki Acting line Nisa bht behtr Ramsha Khan should work hard... Mahnoor is winning the heart Nisa's character is ghareeb larki jo sbki izzat hathon m liye phirti hn aise nai hoti her kisi ki insult bs,NA
Nisa ko shram to ni ati koe zara si b empathy ni ha Maheen k lya,A
I think maheen and mother are in real relationship,NA
24:15 Nisa's bag and Meeran,NA
Every week i watch one episode n skip one,NA
Why is drama screen so dark ??? Or is my phone nit working properly ,NA
Nisa is so rude and toxic nowadays just wanna get over her how can someone even face her . She thinks she is the best and everything for her needs to go smoothly ,A
Now this drama is so board. Jtne shoq se dekhna shuru kia tha.ab samjh hi nai aarha k kia dikhana chah rhe han,NA
I think meeran and mahin ke pappa ek hi hay,NA
Gosh this Nisa is so toxic man. I don’t know how people tolerate her let alone be in love with her ,A
Boring hogya ha ab ye drama end kr den plz,NA
Gul dafa kyun nai krti esay husband ko,A
Nisa is just self obsessed and khudgarz girl who thinks whatever she’s going tó through is the most painful thing ever invalidating others feelings taking her frustration out on them and on top of that she justifies herself and doesn’t even consider her actions wrong until her mother and mamu question them,A
Ye kia tha aur kuch nahi ab iss dramay mai draggggggggggggg,NA
This drama started in a good note and now down the drain,NA
She is a sister of the hero of this drama the father is definitely hero 's father,NA
kia fazool hay itna chawal darma ,A
Maheen is so cute ,NA
Meeran deserves GulMehar not ill-mannered and khudgaraaz Nisa,A
chawal insaaan paya gaya jay,A
"Boring part,, but love From Bangladesh ????????????????????",NA
Pata nahi yeh drama banaya hi Q hai ,NA
Ye sari shabana aisi kyun hoti hai?,NA
28:15 most emotional acting by khushkhal khan ,NA
"Kitna koi bskwas drama hota ja rha hai, ghalti krli daikh kr x pe kr k daikhny pr bhi inthae slow ?? end krdo ab bkwas ka",A
bakwass hay darama kia kary ab ,A
2:06 qureshi ,NA
Nisa ki bina baki saab larki acchi hain iss drama ki,NA
"These writers are constantly, in every drama, confusing rude, self centred and toxic women with strength and independence. Bad. Nisa is one such woman, ugh",A
"ye to marvel ki vfx war chal rhi thi ust kidding, it was a good episode",NA
Drama name should be..... Ishq.e.lazawaal,NA
24:40 bag ko kitny pyar set kia,NA
Mehran make me cry ,NA
Story is so stupid I think writer biryani ki jagah kichdi banana chahta tha,A
kahani me kahani bass kar dho kahani how rude nisa,A
How Nisa talk to her mother so disappointing,NA
The leading actress shouldn’t be this much toxic !!! This drama doesn’t need any Villain !!!,A
Adhir be Babar out ho gia gize,NA
Ep ki start hi mein ehd e wafa yani apny dramy ka ost Laga dia waaa wahaj,NA
"after ""Dil Nawaz"" Wahaj ali again in a horror drama. Sehar khan is a beautiful jinn. they will rock this time ",NA
Omggg romaisa in a drama obsessed ,NA
27:31 already seen this scene on tiktok someone says it's was really angry on director but actually it was this scene,NA
Hollywood Ki Horror Movies Dekh Kar Darr LagTaa Hai Or Pakistan Ke Horror Dramen Dekh Kar Hasi Aati Hai ,NA
